Synonym	Start	Stop	Strand	Name	Synonym	Product	CS1	CS2	CS3	CS4	CS5	CS6	CS7	CS8	CS9	CS10	CS11	CS12	CS13	CS14	CS15	CS16	CS17	CS18	CS19	CS20	CS21	CS22	CS23	CS24	CS25	CS26	Entry	Entry name	Protein names	Gene names	Pathway	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Cross-reference (GeneID)	EC number	Cross-reference (STRING)	Cross-reference (KEGG)	Cross-reference (UniPathway)
b0019	17489	18655	+	nhaA	b0019	sodium-proton antiporter	0	46	0	0	0	0	18	27	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	P13738	NHAA_ECOLI	Na(+)/H(+) antiporter NhaA (Sodium/proton antiporter NhaA)	nhaA ant b0019 JW0018		cellular sodium ion homeostasis [GO:0006883]; regulation of intracellular pH [GO:0051453]; response to cation stress [GO:0043157]; sodium ion export across plasma membrane [GO:0036376]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	cardiolipin binding [GO:1901612]; sodium:proton antiporter activity [GO:0015385]	944758;		511145.b0019;	ecj:JW0018;eco:b0019;	
b0020	18715	19620	+	nhaR	b0020	transcriptional activator of nhaA	0	0	0	0	0	0	4	0	0	38	0	0	0	0	0	0	0	73	0	35	20	0	0	0	0	0	P0A9G2	NHAR_ECOLI	Transcriptional activator protein NhaR (Na(+)/H(+) antiporter regulatory protein)	nhaR antO b0020 JW0019		positive regulation of DNA-templated transcription, initiation [GO:2000144]; regulation of DNA-templated transcription, initiation [GO:2000142]	cytoplasm [GO:0005737]	DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]	944757;		511145.b0020;	ecj:JW0019;eco:b0020;	
b0021	20314	19811	-	insB1	b0021	IS1 transposase B	0	0	0	0	0	0	0	0	0	0	0	54	0	49	0	0	0	119	0	0	0	0	0	0	0	14	P0CF25	INSB1_ECOLI	Insertion element IS1 1 protein InsB (IS1a)	insB1 b0021 JW0020		transposition, DNA-mediated [GO:0006313]		DNA binding [GO:0003677]; transposase activity [GO:0004803]	944743;945867;947949;		511145.b3445;	ecj:JW0020;eco:b0021;eco:b1893;eco:b3445;	
b0022	20508	20233	-	insA	b0022	IS1 repressor TnpA	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	P0CF07	INSA1_ECOLI	Insertion element IS1 1 protein InsA (IS1a)	insA1 b0022 JW0021		transposition, DNA-mediated [GO:0006313]			10549031;3853367;3853482;6276006;6276014;7324512;945800;947950;948449;9846072;		511145.b3444;	ecj:JW0021;eco:b0022;eco:b1894;eco:b3444;	
b0023	21078	20815	-	rpsT	b0023	30S ribosomal subunit protein S20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P0A7U7	RS20_ECOLI	30S ribosomal protein S20 (Small ribosomal subunit protein bS20)	rpsT b0023 JW0022		ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; small ribosomal subunit [GO:0015935]	ornithine decarboxylase inhibitor activity [GO:0008073]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]	49586167;944759;		511145.b0023;	ecj:JW0022;eco:b0023;	
b0024	21181	21399	+	yaaY	b0024	uncharacterized protein	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	P75620	YAAY_ECOLI	Uncharacterized protein YaaY	yaaY b0024 JW5003		cellular response to DNA damage stimulus [GO:0006974]			48722931;949128;		511145.b0024;	ecj:JW5003;eco:b0024;	
b0025	21407	22348	+	ribF	b0025	bifunctional riboflavin kinase/FAD synthetase	16	0	0	0	0	53	0	0	210	28	0	30	52	53	110	29	32	0	42	0	0	0	0	0	0	211	P0AG40	RIBF_ECOLI	Bifunctional riboflavin kinase/FMN adenylyltransferase (Riboflavin biosynthesis protein RibF) [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]	ribF yaaC b0025 JW0023	PATHWAY: Cofactor biosynthesis; FAD biosynthesis; FAD from FMN: step 1/1. {ECO:0000250|UniProtKB:Q59263}.; PATHWAY: Cofactor biosynthesis; FMN biosynthesis; FMN from riboflavin (ATP route): step 1/1. {ECO:0000250|UniProtKB:Q59263}.	FAD biosynthetic process [GO:0006747]; FMN biosynthetic process [GO:0009398]; riboflavin biosynthetic process [GO:0009231]; riboflavin metabolic process [GO:0006771]		ATP binding [GO:0005524]; FMN adenylyltransferase activity [GO:0003919]; riboflavin kinase activity [GO:0008531]	49586165;949129;	2.7.1.26; 2.7.7.2	511145.b0025;	ecj:JW0023;eco:b0025;	UPA00276;UER00406, UPA00277;UER00407
b0026	22391	25207	+	ileS	b0026	isoleucyl-tRNA synthetase	34	80	20	15	94	70	120	80	43	143	28	66	104	121	189	83	33	53	121	0	67	0	0	0	43	20	P00956	SYI_ECOLI	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS ilvS b0026 JW0024		isoleucyl-tRNA aminoacylation [GO:0006428]; response to antibiotic [GO:0046677]	cytosol [GO:0005829]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	944761;	6.1.1.5	511145.b0026;	ecj:JW0024;eco:b0026;	
b0027	25207	25701	+	lspA	b0027	prolipoprotein signal peptidase (signal peptidase II)	0	0	0	14	61	0	38	68	0	4	0	4	49	0	128	126	0	23	0	0	0	0	0	0	0	83	P00804	LSPA_ECOLI	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA lsp b0027 JW0025		lipoprotein biosynthetic process via signal peptide cleavage [GO:0097304]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]	944800;	3.4.23.36	511145.b0027;	ecj:JW0025;eco:b0027;	
b0028	25826	26275	+	fkpB	b0028	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	0	0	0	0	14	66	0	0	94	0	0	3	0	0	0	87	0	306	0	0	120	0	0	0	0	19	P0AEM0	FKBX_ECOLI	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Rotamase)	fkpB slpA yaaD b0028 JW0026		chaperone-mediated protein folding [GO:0061077]	cytosol [GO:0005829]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	52075349;944807;	5.2.1.8	511145.b0028;	ecj:JW0026;eco:b0028;	
b0029	26277	27227	+	ispH	b0029	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein	0	0	0	0	0	0	0	0	0	134	0	27	41	28	0	0	0	0	49	0	11	0	0	0	0	0	P62623	ISPH_ECOLI	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase)	ispH lytB yaaE b0029 JW0027	PATHWAY: Isoprenoid biosynthesis; dimethylallyl diphosphate biosynthesis; dimethylallyl diphosphate from (2E)-4-hydroxy-3-methylbutenyl diphosphate: step 1/1. {ECO:0000269|PubMed:11818558, ECO:0000305|PubMed:11418107}.; PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 6/6. {ECO:0000269|PubMed:11818558, ECO:0000305|PubMed:11418107}.	dimethylallyl diphosphate biosynthetic process [GO:0050992]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	cytosol [GO:0005829]	3 iron, 4 sulfur cluster binding [GO:0051538]; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity [GO:0051745]; 4 iron, 4 sulfur cluster binding [GO:0051539]; hydroxymethylbutenyl pyrophosphate reductase activity [GO:0042380]; metal ion binding [GO:0046872]	48722926;944777;	1.17.7.4	511145.b0029;	ecj:JW0027;eco:b0029;	UPA00056;UER00097, UPA00059;UER00105
b0030	27293	28207	+	rihC	b0030	ribonucleoside hydrolase 3	0	0	0	0	0	0	0	0	31	4	0	0	0	0	0	67	52	53	0	0	0	0	0	0	0	0	P22564	RIHC_ECOLI	Non-specific ribonucleoside hydrolase RihC (EC 3.2.-.-) (Purine/pyrimidine ribonucleoside hydrolase)	rihC yaaF b0030 JW0028		cellular response to DNA damage stimulus [GO:0006974]; purine nucleobase metabolic process [GO:0006144]; purine nucleoside catabolic process [GO:0006152]; pyrimidine nucleobase metabolic process [GO:0006206]; ribonucleoside catabolic process [GO:0042454]	cytosol [GO:0005829]	adenosine nucleosidase activity [GO:0047622]; inosine nucleosidase activity [GO:0047724]; purine nucleosidase activity [GO:0008477]; ribosylpyrimidine nucleosidase activity [GO:0050263]; uridine nucleosidase activity [GO:0045437]	944796;	3.2.-.-	511145.b0030;	ecj:JW0028;eco:b0030;	
b0031	28374	29195	+	dapB	b0031	dihydrodipicolinate reductase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	P04036	DAPB_ECOLI	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB b0031 JW0029	PATHWAY: Amino-acid biosynthesis; L-lysine biosynthesis via DAP pathway; (S)-tetrahydrodipicolinate from L-aspartate: step 4/4. {ECO:0000255|HAMAP-Rule:MF_00102}.	cellular amino acid biosynthetic process [GO:0008652]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cytosol [GO:0005829]	4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]	944762;	1.17.1.8	511145.b0031;	ecj:JW0029;eco:b0031;	UPA00034;UER00018
b0032	29651	30799	+	carA	b0032	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	0	0	0	0	38	0	42	383	0	26	39	0	0	0	0	0	0	30	0	0	0	0	0	0	0	85	P0A6F1	CARA_ECOLI	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA pyrA b0032 JW0030	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3.	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]	48132683;949025;	6.3.5.5	511145.b0032;	ecj:JW0030;eco:b0032;	UPA00068;UER00171, UPA00070;UER00115
b0033	30817	34038	+	carB	b0033	carbamoyl-phosphate synthase large subunit	0	7	0	0	77	0	0	181	0	7	0	0	8	0	11	8	16	0	0	0	0	0	0	0	0	0	P00968	CARB_ECOLI	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031	PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01210}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_01210}.	'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; cellular amino acid biosynthetic process [GO:0008652]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]; pyrimidine nucleobase biosynthetic process [GO:0019856]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]	amino acid binding [GO:0016597]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	944775;	6.3.5.5	511145.b0033;	ecj:JW0031;eco:b0033;	UPA00068;UER00171, UPA00070;UER00115
b0034	34300	34695	+	caiF	b0034	cai operon transcriptional activator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P0AE58	CAIF_ECOLI	Transcriptional activatory protein CaiF	caiF b0034 JW0033		carnitine metabolic process [GO:0009437]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]		DNA-binding transcription factor activity [GO:0003700]	48107505;944795;		511145.b0034;	ecj:JW0033;eco:b0034;	
b0035	35371	34781	-	caiE	b0035	stimulator of CaiD and CaiB enzyme activities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P39206	CAIE_ECOLI	Carnitine operon protein CaiE	caiE b0035 JW5004	PATHWAY: Amine and polyamine metabolism; carnitine metabolism.	carnitine metabolic process [GO:0009437]		transferase activity [GO:0016740]	948999;		511145.b0035;	ecj:JW5004;eco:b0035;	UPA00117
b0036	36162	35377	-	caiD	b0036	carnitinyl-CoA dehydratase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P31551	CAID_ECOLI	Carnitinyl-CoA dehydratase (EC 4.2.1.149) (Crotonobetainyl-CoA hydratase)	caiD yaaL b0036 JW0035	PATHWAY: Amine and polyamine metabolism; carnitine metabolism.	carnitine catabolic process [GO:0042413]		carnitine racemase activity [GO:0008809]; hydro-lyase activity [GO:0016836]	948995;	4.2.1.149	511145.b0036;	ecj:JW0035;eco:b0036;	UPA00117
b0037	37824	36271	-	caiC	b0037	putative crotonobetaine/carnitine-CoA ligase	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	P31552	CAIC_ECOLI	Crotonobetaine/carnitine--CoA ligase (EC 6.2.1.48) (Betaine:CoA ligase)	caiC yaaM b0037 JW0036	PATHWAY: Amine and polyamine metabolism; carnitine metabolism. {ECO:0000255|HAMAP-Rule:MF_01524}.	carnitine metabolic process [GO:0009437]		acid-thiol ligase activity [GO:0016878]; carnitine-CoA ligase activity [GO:0051108]; CoA-ligase activity [GO:0016405]; crotonobetaine-CoA ligase activity [GO:0051109]	944886;	6.2.1.48	511145.b0037;	ecj:JW0036;eco:b0037;	UPA00117
b0038	39115	37898	-	caiB	b0038	crotonobetainyl CoA:carnitine CoA transferase	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	13	0	0	0	0	0	0	148	P31572	CAIB_ECOLI	L-carnitine CoA-transferase (EC 2.8.3.21) (Crotonobetainyl-CoA:carnitine CoA-transferase)	caiB yaaN b0038 JW0037	PATHWAY: Amine and polyamine metabolism; carnitine metabolism. {ECO:0000255|HAMAP-Rule:MF_01050, ECO:0000269|PubMed:11551212}.	carnitine catabolic process [GO:0042413]	cytoplasm [GO:0005737]	carnitine dehydratase activity [GO:0008735]; CoA-transferase activity [GO:0008410]	948997;	2.8.3.21	511145.b0038;	ecj:JW0037;eco:b0038;	UPA00117
b0039	40386	39244	-	caiA	b0039	crotonobetaine reductase subunit II, FAD-binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	19	0	0	0	0	0	0	64	P60584	CAIA_ECOLI	Crotonobetainyl-CoA reductase (EC 1.3.8.13) (Crotobetaine reductase) (Crotonobetainyl-CoA dehydrogenase)	caiA yaaO b0039 JW0038	PATHWAY: Amine and polyamine metabolism; carnitine metabolism. {ECO:0000255|HAMAP-Rule:MF_01052, ECO:0000305}.	carnitine metabolic process [GO:0009437]	cytoplasm [GO:0005737]	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor [GO:0052890]	49586149;949064;	1.3.8.13	511145.b0039;	ecj:JW0038;eco:b0039;	UPA00117
